name,id,group,Rank,Rating,Reviews,Min Installs,Price,Rank Change (week)
Happy Farm:Candy Day,0,Casual,127,4.18,365524,10000000,0,11
Fast & Furious 6: The Game,0,Action,128,4.14,487722,10000000,0,13
Valkyrie Crusade,0,Casual,129,4.41,33058,1000000,0,25
Legend Online: New Era,0,Role Playing,130,4.1,36747,1000000,0,29
GO SMS Pro,0,Communication,131,4.44,1358920,50000000,0,5
Bloons TD 5,0,Strategy,132,4.62,40812,500000,2.99,-8
Virtual Families 2,0,Casual,133,4.18,126280,1000000,0,19
SUMMON MASTERS,0,Role Playing,134,4.34,66328,1000000,0,-7
UNO_†¢ & Friends,0,Card,135,4.15,366385,10000000,0,10
Dragon Story: Springtime,0,Casual,136,4.09,19300,500000,0,26
World at Arms,0,Strategy,137,4.32,337300,10000000,0,-21
Animal Voyage:Island Adventure,0,Casual,138,4.14,72964,1000000,0,16
HonorBound (RPG),0,Role Playing,139,4.51,93732,500000,0,19
Hill Climb Racing,0,Racing,140,4.45,2788166,100000000,0,8
FIFA 14 by EA SPORTS_†¢,0,Sports,141,4.49,125308,1000000,0,13
The Amazing Spider-Man 2,0,Action,142,4.08,10559,50000,4.99,18
MeetMe: Chat & Meet New People,0,Social,143,4.16,353470,10000000,0,1
Candy Blast Mania,0,Arcade,144,4.15,21425,500000,0,-33
The Price is Right_†¢ Slots,0,Casino,145,4.26,34437,1000000,0,-11
Card Wars - Adventure Time,0,Card,146,4.26,16727,100000,3.99,12
Texas HoldEm Poker Deluxe,0,Casino,147,4.6,283989,10000000,0,11
The Tribez,0,Simulation,148,4.49,561031,1000000,0,-35
D.O.T. Defender of Texel (RPG),0,Arcade,149,4.38,44712,1000000,0,-3
Jurassic Park_†¢ Builder,0,Simulation,150,4.21,282368,10000000,0,-9
Little Empire,0,Strategy,151,4.38,122355,5000000,0,-6
King's Empire,0,Strategy,152,4.24,73132,1000000,0,21
Angry Birds,0,Arcade,153,4.46,2719534,100000000,0,6
Star Wars: Assault Team,0,Strategy,154,4.07,52324,1000000,0,-13
Slots _Ñ_ Riches of Olympus,0,Casino,155,4.25,6881,100000,0,-33
Bingo by IGG: Top Bingo+Slots!,0,Casino,156,4.62,54608,1000000,0,11
Throne Rush,0,Strategy,157,4.38,153621,1000000,0,4
Legends at War,0,Role Playing,158,4.07,24834,500000,0,-83
Angry Birds Go!,0,Racing,159,4.15,1494887,10000000,0,13
Zombie Assault:Sniper,0,Action,160,4.16,61474,1000000,0,12
Township,0,Simulation,161,4.31,122506,1000000,0,1
Disco Bees,0,Puzzle,162,4.24,29433,1000000,0,13
Rage of the Immortals,0,Role Playing,163,4.12,50452,1000000,0,13
Fashion Story: Mother's Day,0,Casual,164,4.19,8821,100000,0,-41
Texas Poker,0,Card,165,4.15,77695,10000000,0,22
Paramon,0,Adventure,166,3.81,4407,100000,0,1
FoxFi Key (supports PdaNet),0,Communication,167,3.88,6993,500000,7.95,6
Battle Alert,0,Role Playing,168,4.05,76104,5000000,0,13
Spirit Stones,0,Puzzle,169,4.29,86373,1000000,0,34
WhatsApp Messenger,0,Communication,170,4.45,12641916,500000000,0,7
Deadman's Cross,0,Role Playing,171,3.65,33842,1000000,0,32
Drag Racing,0,Racing,172,4.46,1438518,100000000,0,-3
The Walking Dead: Season One,0,Adventure,173,4.47,212529,1000000,0,36
Slot Bonanza-FREE Casino Slots,0,Casino,174,4.35,12796,500000,0,-15
Viber,0,Communication,175,4.35,3652594,100000000,0,3
Top Eleven Be a Soccer Manager,0,Sports,176,4.46,808602,10000000,0,-167
Pixel Gun 3D,0,Action,177,4.39,150364,1000000,0,-23
Avengers Alliance,0,Action,178,3.96,153228,5000000,0,16
Brightwood Adventures,0,Casual,179,4.41,85628,1000000,0,13
The Price Is Right_†¢ Bingo,0,Casino,180,4.35,6367,100000,0,9
Bakery Story: Mother_Ñés Day,0,Casual,181,4.49,6306,100000,0,
Soul Guardians: Age of Midgard,0,Action,182,4.36,5002,50000,0,
Magic Piano by Smule,0,Music & Audio,183,4.13,220287,10000000,0,-4
G.I. JOE: BATTLEGROUND,0,Arcade,184,4.09,11474,1000000,0,30
Asphalt 8: Airborne,0,Racing,185,4.46,1228466,10000000,0,11
Fresh Deck Poker - Live Holdem,0,Casino,186,4.58,32295,1000000,0,-36
Real Steel World Robot Boxing,0,Action,187,4.48,569858,10000000,0,-4
Battle of Zombies: Clans MMO,0,Strategy,188,4.09,70765,1000000,0,15
FRONTLINE COMMANDO 2,0,Action,189,4.25,375146,5000000,0,-45
SLINGSHOT BRAVES,0,Role Playing,190,4.14,36129,500000,0,39
Lookout Security & Antivirus,0,Productivity,191,4.49,654137,50000000,0,1
GREE,0,Social,192,2.58,22825,5000000,0,13
Jewel Mania_†¢,0,Arcade,193,3.72,70431,5000000,0,-14
Road Riot For Tango,0,Racing,194,4.31,68608,1000000,0,-32
Slots by Jackpotjoy,0,Casino,195,4.19,16215,1000000,0,-23
ONLINE RPG AVABEL,0,Role Playing,196,4.3,135256,1000000,0,28
MADDEN NFL 25 by EA SPORTS_†¢,0,Sports,197,4.3,108320,1000000,0,-2
"Vault-Hide SMS, Pics & Videos",0,Business,198,4.43,314040,10000000,0,22
TETRISëå Blitz,0,Puzzle,199,4.44,106548,1000000,0,-10
9 Innings: 2014 Pro Baseball,0,Sports,200,4.57,297977,5000000,0,19
Dragon Story_†¢,0,Casual,201,4.22,116371,5000000,0,23
Throne Wars,0,Strategy,202,4.13,34370,1000000,0,9
Nemo's Reef,0,Strategy,203,4.17,139646,10000000,0,17
Angry Birds Friends,0,Arcade,204,4.2,236754,10000000,0,-10
Family Feudëå & Friends,0,Trivia,205,4.39,309097,10000000,0,2
Bingo PartyLand,0,Casino,206,4.03,6161,500000,0,-92
–†ô•ôê•_É–ùâ–ô_ for Kakao,0,Role Playing,207,4.35,137095,1000000,0,43
Words With Friends Free,0,Word,208,4.31,1547549,10000000,0,-5
Ice Age Village,0,Casual,209,4.41,1101335,10000000,0,24
Scramble With Friends Free,0,Word,210,4.57,397684,10000000,0,-9
Lord of the Dragons,0,Casual,211,4.11,7835,500000,0,13
Restaurant Story: Springtime,0,Casual,212,4.16,19428,500000,0,2
Smurfs' Village,0,Casual,213,4.53,573621,10000000,0,16
Party in my Dorm,0,Casual,214,4.13,20743,1000000,0,22
Tagged - Meet New People,0,Social,215,4.11,277054,5000000,0,
MY LITTLE PONY,0,Casual,216,4.39,288180,10000000,0,-15
Heroes of Atlan,0,Role Playing,217,4.3,26244,100000,0,-66
XCOMëå: Enemy Unknown,0,Strategy,218,4.6,3992,10000,9.99,116
Solitaire TriPeaks by GSN,0,Card,219,4.17,10578,500000,0,-65
Bingo Rush 2,0,Casino,220,4.09,9401,500000,0,36
Royal Revolt 2,0,Action,221,4.42,97153,1000000,0,1
Baldur's Gate Enhanced Edition,0,Role Playing,222,4.57,2955,10000,9.99,-6
Crime Inc.,0,Role Playing,223,4.37,12812,500000,0,-7
Bubble Mania_†¢,0,Arcade,224,4.17,162792,10000000,0,13
Diamond Dash,0,Arcade,225,4.52,727741,10000000,0,-10
Grand Theft Auto: San Andreas,0,Action,226,4.33,48052,100000,6.99,2
Norton Security & Antivirus,0,Tools,227,4.43,285161,10000000,0,47
Clash of Lords,0,Strategy,228,4.55,186553,1000000,0,-14
X-Men: Battle of the Atom,0,Role Playing,229,3.69,2509,50000,0,59
Hungry Shark Evolution,0,Arcade,230,4.43,724950,10000000,0,3
Panda Pop,0,Puzzle,231,4.01,44904,1000000,0,-22
Coin Dozer,0,Casino,232,4.49,622074,10000000,0,3
DC Comics,0,Comics,233,4.16,7486,1000000,0,-21
Magisto Video Editor & Maker,0,Photography,234,4.34,307175,10000000,0,-45
Ultimate Guitar Tabs & Chords,0,Music & Audio,235,4.58,40608,500000,2.99,-5
Bike Race Free - Top Free Game,0,Action,236,4.55,704476,10000000,0,19
Bingo,0,Casino,237,4.36,59169,500000,0,31
Next Launcher 3D Shell,0,Personalization,238,4.54,34353,100000,16.99,-1
Wild Bingo - FREE Bingo+Slots,0,Casino,239,4.35,128291,1000000,0,16
NASCAR MOBILE,0,Sports,240,4.01,31226,1000000,0,-207
DEAD TRIGGER 2,0,Action,241,4.5,584933,5000000,0,25
Airport City,0,Simulation,242,4.51,393298,5000000,0,-28
R.B.I. Baseball 14,0,Sports,243,4.08,150,1000,4.99,
Slots_†¢,0,Card,244,4.16,46817,5000000,0,-76
Grepolis,0,Strategy,245,4.26,64862,1000000,0,33
Slots Fairytale: FREE SLOTS,0,Casino,246,4.46,9493,500000,0,25
AntiVirus Security - FREE,0,Communication,247,4.4,1678226,100000000,0,-31
Paperama,0,Puzzle,248,4.42,500268,5000000,0,-76
Arcane Legends,0,Role Playing,249,4.47,158775,10000000,0,48
Paradise Island,0,Simulation,250,4.6,907604,10000000,0,7
Eternal Uprising: End of Days,0,Card,251,4.04,8748,100000,0,47
Stilland War HD(Adventure RPG),0,Role Playing,252,4,10859,500000,0,-14
HELLO HERO_†¢,0,Role Playing,253,4.34,96893,1000000,0,45
NBA JAM by EA SPORTS_†¢,0,Sports,254,4.15,15521,100000,4.99,9
SwiftKey Keyboard,0,Productivity,255,4.65,427064,1000000,3.99,40
Eredan Arena - Card Game - PvP,0,Card,256,4.52,39889,500000,0,-17
NASCAR RACEVIEW MOBILE,0,Sports,257,3.86,3186,100000,0,-225
MONOPOLY Bingo,0,Casino,258,3.94,20914,1000000,0,22
War 2 Victory,0,Strategy,259,4.15,19851,1000000,0,64
Sing! Karaoke by Smule,0,Music & Audio,260,3.86,47656,1000000,0,-5
Machinarium,0,Adventure,261,4.62,6196,50000,2.99,
"Chat, Meet People - Moco Chat",0,Social,262,4.18,125355,5000000,0,-27
Devil Maker: Tokyo,0,Card,263,4.14,7333,100000,0,2
RoboCop_†¢,0,Action,264,4.2,536658,10000000,0,32
DOWNTOWN MAFIA (RPG) - FREE,0,Role Playing,265,4.42,13975,500000,0,69
AnastasiaDate,0,Social,266,4.02,10323,1000000,0,-27
Tiny Monsters,0,Casual,267,4.26,80335,1000000,0,11
Evernote,0,Productivity,268,4.65,907901,10000000,0,-1
Flutter,0,Arcade,269,4.2,11220,100000,0,75
Jetpack Joyride,0,Arcade,270,4.35,1311470,50000000,0,-18
LINE COOKIE RUN,0,Arcade,271,4.44,1568683,10000000,0,69
WhitePages,0,Travel & Local,272,4.42,26970,1000000,0,-14
Campus Life,0,Casual,273,3.91,50838,1000000,0,40
SpongeBob Moves In,0,Simulation,274,3.87,1804,10000,3.99,-48
Get Followers On Instagram,0,Social,275,4.38,14446,100000,0,-29
NBA General Manager 2014,0,Sports,276,4.11,28477,500000,0,-66
Lost Bubble - Bubble Shooter,0,Arcade,277,4.43,80618,1000000,0,-29
Flow Free,0,Puzzle,278,4.4,488200,50000000,0,15
D&D Arena of War,0,Arcade,279,3.8,21229,1000000,0,8
Battle Command!,0,Strategy,280,4.21,44148,1000000,0,33
Legend of Minerva,0,Action,281,3.85,5108,1000000,0,19
RPG IRUNA Online MMORPG,0,Role Playing,282,4.07,20350,500000,0,32
Greed for Glory: Elder Magicks,0,Strategy,283,4.16,1943,100000,0,-206
Bakery Story_†¢,0,Casual,284,4.37,260111,10000000,0,24
Book of Heroes,0,Role Playing,285,4.29,20864,500000,0,-14
Angry Birds Star Wars II Free,0,Arcade,286,4.31,484521,10000000,0,27
