rank,title,developer,version,price_usd,rating,votes,content_rating,category,min_installs,max_installs,updated,rank_change_day,rank_change_week,store_url
45,Live Holdem Poker Pro,Dragonplay,Varies with device,$0.00 ,4.66,1023842,Medium Maturity,Card,10000000,50000000,5/4/14,-1,1,https://play.google.com/store/apps/details?id=com.dragonplay.liveholdempro
46,Crime City (Action RPG),"GREE, INC",5.0.1,$0.00 ,4.31,156927,Medium Maturity,Action,10000000,50000000,5/10/14,-16,10,https://play.google.com/store/apps/details?id=com.funzio.crimecity
47,Megapolis,Social Quantum Ltd,1.81,$0.00 ,4.23,417276,Medium Maturity,Strategy,10000000,50000000,4/30/14,0,2,https://play.google.com/store/apps/details?id=com.socialquantum.acityint
48,Bejeweled Blitz,Electronic Arts Inc,1.5.0,$0.00 ,4.28,70431,Everyone,Puzzle,5000000,10000000,4/24/14,0,-2,https://play.google.com/store/apps/details?id=com.ea.BejeweledBlitz_na
49,Modern War by GREE,"GREE, INC",4.0.6,$0.00 ,4.16,83243,Medium Maturity,Action,5000000,10000000,4/29/14,12,10,https://play.google.com/store/apps/details?id=jp.gree.modernwar
50,Injustice: Gods Among Us,Warner Bros. International Enterprises,Varies with device,$0.00 ,4.52,694610,Low Maturity,Action,5000000,10000000,3/4/14,1,3,https://play.google.com/store/apps/details?id=com.wb.goog.injustice
51,Westbound: Pioneer Adventure,"Kiwi, Inc.",Varies with device,$0.00 ,4.27,100936,Everyone,Simulation,1000000,5000000,3/19/14,0,-2,https://play.google.com/store/apps/details?id=com.kiwi.westbound
52,Kingdoms of Camelot: Battle,Kabam,Varies with device,$0.00 ,4.05,38624,Medium Maturity,Strategy,1000000,5000000,4/17/14,0,-4,https://play.google.com/store/apps/details?id=com.kabam.kocmobile
53,Slots - Pharaoh's Way,Cervo Media,4.6.3,$0.00 ,4.42,97871,Medium Maturity,Casino,1000000,5000000,3/28/14,3,-1,https://play.google.com/store/apps/details?id=com.cervomedia.spw
54,DH Texas Poker - Texas Holdem,DroidHen,1.6.2,$0.00 ,4.48,247153,Medium Maturity,Casino,10000000,50000000,4/24/14,-1,-7,https://play.google.com/store/apps/details?id=com.droidhen.game.poker
55,MONOPOLY Slots,Electronic Arts Inc,5.2.16,$0.00 ,4.47,48528,Medium Maturity,Casino,1000000,5000000,5/1/14,-1,-12,https://play.google.com/store/apps/details?id=air.com.ea.game.monopolyslots_na
56,CSR Racing,NaturalMotionGames Ltd,1.7.0,$0.00 ,4.46,924225,Low Maturity,Racing,10000000,50000000,4/29/14,2,1,https://play.google.com/store/apps/details?id=com.naturalmotion.csrracing
57,Dragons World,Social Quantum Ltd,1.0.26,$0.00 ,4.17,205052,Low Maturity,Simulation,5000000,10000000,2/7/14,4,-5,https://play.google.com/store/apps/details?id=com.sq.dragonsworld
58,Frozen Free Fall,Disney,1.5.0,$0.00 ,4.31,462981,Everyone,Puzzle,10000000,50000000,5/7/14,0,-2,https://play.google.com/store/apps/details?id=com.disney.frozensaga_goo
